id,track_name,album_name,release_date,artist,genre,explicit,score,airplay_streams,amazon_playlist_count,deezer_playlist_count,itunes_playlist_count,shazam_count,siriusxm_streams,soundcloud_plays,spotify_playlist_count,spotify_playlist_total_reach,spotify_plays,spotify_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,tidal_popularity,tiktok_posts,tiktok_top_videos_likes,tiktok_top_videos_views,youtube_likes,youtube_playlist_count,youtube_views
116421728,Gata Only,Gata Only,2024-02-02,"['FloyyMenor', 'Cris Mj']",['Latin'],True,0.299874755762,90543.0,66.0,57.0,117.0,13799130.0,102.0,,211162.0,101575887.0,1460723967.0,83.0,106.0,46626454.0,,3100065.0,456962368.0,5528934563.0,4180588.0,115.0,704615867.0
118969192,A Bar Song (Tipsy),A Bar Song (Tipsy),2024-04-12,['Shaboozey'],['Country'],True,0.298756682436,364.0,182.0,63.0,199.0,7074477.0,1304.0,,195295.0,153191597.0,1123673430.0,83.0,113.0,84907676.0,,2304700.0,253279800.0,4023712444.0,3036406.0,135.0,334967318.0
123025838,Alibi (with Pabllo Vittar & Yseult),Alibi (with Pabllo Vittar & Yseult),2024-06-28,"['Sevdaliza', 'Pabllo Vittar', 'Yseult']","['Latin', 'Latin Pop']",False,0.29547902856,59883.0,51.0,41.0,55.0,6329864.0,125.0,,74750.0,38384103.0,479476247.0,79.0,45.0,8634803.0,,10269187.0,1057417471.0,13591581029.0,1135874.0,,89081921.0
79012900,As It Was,As It Was,2022-03-31,['Harry Styles'],['Pop'],False,0.281059896042,1962831.0,173.0,296.0,461.0,16211307.0,5206.0,,473914.0,148599511.0,3771755743.0,84.0,99.0,19786165.0,,3786071.0,1823159524.0,17308426552.0,9496678.0,195.0,876278718.0
142760415,Promotional,Class,2025-01-24,['FlyFlyMusic'],['Others'],False,0.275591496653,,,,,,,,,,,0.0,,,,3002629.0,22716712.0,595450284.0,,,
138052899,That’s So True,The Secret of Us (Deluxe),2024-10-18,['Gracie Abrams'],['Pop'],True,0.272176095703,125108.0,139.0,115.0,185.0,,471.0,258342.0,45128.0,200979035.0,717167183.0,93.0,96.0,90146523.0,,577200.0,35927400.0,278228106.0,1003929.0,163.0,82820823.0
83331455,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,2022-05-24,['WZ Beat'],"['Latin Pop', 'Latin']",False,0.27183040098,,1.0,2.0,1.0,667038.0,474.0,,3885.0,474608.0,7858537.0,35.0,0.0,0.0,,76916485.0,1693303128.0,24094466734.0,73403.0,,4570791.0
118460988,"Good Luck, Babe!","Good Luck, Babe!",2024-04-05,['Chappell Roan'],['Pop'],False,0.266718127756,472051.0,167.0,144.0,254.0,7158104.0,40.0,,148995.0,218908965.0,1302393979.0,90.0,133.0,79997438.0,,384175.0,182216180.0,1337922814.0,1727888.0,140.0,178652136.0
141776968,NUEVAYoL,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],False,0.263981053215,11262.0,53.0,60.0,87.0,858524.0,56.0,1111464.0,23656.0,112807428.0,265486813.0,92.0,43.0,37831739.0,,94800.0,32687279.0,297032512.0,437324.0,41.0,47265697.0
120378294,Stargazing,Stargazing,2024-05-10,['Myles Smith'],"['Pop', 'Singer/Songwriter', 'Alternative Rock']",False,0.259500424815,658568.0,94.0,120.0,179.0,3810660.0,546.0,4531245.0,111608.0,98095814.0,674063206.0,83.0,73.0,36468130.0,,1021000.0,83678797.0,844982472.0,917459.0,139.0,119639134.0
139789014,squabble up,GNX,2024-11-22,['Kendrick Lamar'],['Hip-Hop/Rap'],True,0.259262871127,71269.0,63.0,28.0,156.0,1095570.0,408.0,4886363.0,45009.0,100188948.0,258865942.0,88.0,30.0,33106660.0,,51733.0,890940.0,6866594.0,2007523.0,92.0,92528278.0
135253573,Taste,Short n' Sweet,2024-08-23,['Sabrina Carpenter'],['Pop'],False,0.252712075962,4147.0,102.0,97.0,195.0,1429424.0,956.0,,57585.0,166596837.0,844643378.0,87.0,94.0,75563019.0,,2247100.0,150677494.0,1603749448.0,3905867.0,194.0,235796019.0
93859106,bathroom floor,bathroom floor,2022-10-07,['Kids With Buns'],"['Alternative', 'Indie Pop', 'Pop']",False,0.250451887082,1143.0,6.0,,1.0,3602.0,,,338.0,20625.0,353061.0,19.0,1.0,10613.0,,3.0,1088.0,22234.0,17090016.0,,7014392703.0
52404165,STAY (with Justin Bieber),STAY (with Justin Bieber),2021-07-09,"['The Kid LAROI', 'Justin Bieber']",['Pop'],True,0.241213174393,1648517.0,123.0,160.0,517.0,,4263.0,37908132.0,501757.0,135529151.0,3474619809.0,78.0,105.0,15265273.0,,13299649.0,2455701723.0,26202208916.0,3077576.0,6.0,377035448.0
138004397,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),2024-10-16,"['Pitbull', 'Diljit Dosanjh', 'Neeraj Shridhar', 'Tanishk Bagchi', 'Pritam', 'Dhrruv Yogi', 'Sameer Anjaan']","['Bollywood', 'Soundtracks', 'Indian']",False,0.239591175334,330.0,26.0,,5.0,45755.0,,,1653.0,6192410.0,36066304.0,66.0,8.0,4209484.0,,3278.0,128552.0,5175033.0,7011906.0,31.0,949162568.0
120372551,I Had Some Help (feat. Morgan Wallen),I Had Some Help,2024-05-10,"['Post Malone', 'Morgan Wallen']",['Country'],True,0.238625184597,245232.0,132.0,61.0,161.0,3499911.0,620.0,,132269.0,152661578.0,956134412.0,81.0,88.0,64203525.0,,377685.0,301925.0,2920649.0,1276737.0,168.0,186601013.0
111451715,greedy,greedy,2023-09-14,['Tate McRae'],"['Pop', 'Alternative']",True,0.23279977561,864701.0,120.0,148.0,183.0,8049699.0,3886.0,,157925.0,123141636.0,1656730873.0,82.0,93.0,17460534.0,,2664673.0,485781512.0,7060287037.0,2222397.0,171.0,257395878.0
136986015,Timeless (with Playboi Carti),Timeless,2024-09-27,"['The Weeknd', 'Playboi Carti']",['R&B/Soul'],True,0.229553748578,14784.0,61.0,92.0,214.0,3475192.0,13.0,,99509.0,171847935.0,608626591.0,88.0,69.0,82601686.0,,75500.0,25980584.0,225465400.0,511288.0,3.0,41112106.0
13405412,Baby Shark,핑크퐁 영어 동물동요,2015-12-01,['Pinkfong'],"[""Children's Music"", 'Pop', 'Electronic']",False,0.225339765087,426.0,15.0,25.0,37.0,2174399.0,166.0,,75184.0,9546097.0,826817593.0,73.0,60.0,1197245.0,,13756821.0,331268236.0,7890654931.0,55547002.0,9.0,18717164295.0
142533026,Sports car,Sports car,2025-01-21,['Tate McRae'],['Pop'],False,0.224058859109,26650.0,97.0,83.0,160.0,201151.0,75.0,61486.0,4741.0,130058452.0,83102297.0,86.0,56.0,60593884.0,,913900.0,65232.0,1146050.0,316514.0,63.0,14671294.0
